,Title,Description,Link,Location,Price,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Energy mark,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Cadastre no.,Register number,Kulud suvel/talvel,Number of floors,Additional information,population
493,"Apartment for sale, 2 rooms, Moonalao tn 7, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/muume-2toalise-mobleeritud-valguskullase-korteri-u-3392303.html,"59.4018086,24.6144871",155000.0,2.0,44 m²,3/4,2019.0,,,B,Data from realestate book,Notify about incorrect advertisement,"box-room, wall cupboard, furniture, packet windows, parquet, lift, parking free parking",,,,,,78401:101:0821,,,,,116.0
494,"Apartment for sale, 2 rooms, Linnamäe tee 37, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Private ownership,https://www.kv.ee/muua-korter-lasnamael-otse-omanikult-muume-koos-ko-3384270.html,"59.4509102,24.8712087",84500.0,2.0,32.7 m²,1/9,1988.0,Good condition,private property,-,,Notify about incorrect advertisement,"furniture, packet windows, lift, closed balcony, parking free parking, separate rooms","ceramic shove, open kitchen, refridgerator, kitchen furniture","bath, washing machine",,,,78403:307:0680,,,,,13388.0
495,"Apartment for sale, 4 rooms, Metsa tee 31, Iru, Jõelähtme vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/avar-ja-hubane-korter-uues-majas-irus-selle-objekt-3392297.html,"59.4565572,24.9174065",190000.0,4.0,77.5 m²,2/3,2019.0,satisfactory,apartment ownership,Missing,,,"balcony , furniture",,shower,central heating,,,24501:001:0560,,,,,746.0
496,"Apartment for sale, 1 rooms, Heki tee 6, Haabneeme, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/suureparane-asukoht-nbspkorternbsp-valguskullane-s-3392295.html,"59.51320302646,24.833171114161",95000.0,1.0,36.6 m²,1/5,2007.0,ready,apartment ownership,C,,,"kitchen, parquet, sewerage, urban water, parking free parking, furniture, TV-set","electric stove, open kitchen, refridgerator, kitchen furniture",shower,central heating,"Internet, frontdoor locked, video cameras",roads paved roads,89001:010:1841,,,,,2257.0
497,"Apartment for sale, 2 rooms, Paepargi tn 39, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/pakkumisel-ilus-valguskullane-2toaline-korter-paep-3392293.html,"59.4337026,24.8081655",175000.0,2.0,53.5 m²,3/8,2018.0,all brand-new,apartment ownership,B,Data from realestate book,,"balcony , parking free parking, closed courtyard, public transport, urban water, parquet, dressing room, ventilation, lift, furniture, fenced with garden","electric stove, open kitchen, refridgerator","shower, washing machine",central heating,"Internet, phone, cable TV, frontdoor locked, neighbourhood watch, security system, steel door",,,,,,,5241.0
498,"Apartment for sale, 2 rooms, Pöörise 12, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-2toaline-valguskullane-korter-mustamael-korte-3392246.html,"59.4080036,24.6537675",144000.0,2.0,45 m²,2/14,2019.0,ready,apartment ownership,C,Data from realestate book,,"balcony , kitchen, parking free parking, public transport, urban water, TV-set, furniture, parquet, lift, near forest","electric stove, open kitchen, refridgerator","shower, washing machine",central heating,"Internet, cable TV, steel door, frontdoor locked",,,,,,,8278.0
499,"Apartment for sale, 1 rooms, Linnamäe tee 83, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kuum-pakkumine-1toaline-soe-ja-valguskullane-korte-3392245.html,"59.4497878,24.8837742",73500.0,1.0,32.8 m²,5/9,1987.0,,apartment ownership,E,Data from realestate book,Notify about incorrect advertisement,"balcony , kitchen, electricity, urban water, public transport, furniture, parquet, street entrance, lift, roof tar paper roof","ceramic shove, refridgerator","bath, shower, washing machine",central heating,"Internet, cable TV, frontdoor locked",,,,,,,6160.0
500,"Apartment for sale, 3 rooms, Kärberi 19, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-kena-korter-lasnamael-muua-vaga-hea-asukoha-j-3392244.html,"59.4470291,24.8841711",129900.0,3.0,64.8 m²,3/9,1984.0,ready,apartment ownership,,,Notify about incorrect advertisement,"balcony , urban water, water, parquet, parking free parking, separate rooms, public transport, new electricity, lift, electricity","ceramic shove, open kitchen, kitchen furniture","toilet room and bathroom separate, bath",central heating,"cable TV, frontdoor locked, steel door",,78403:309:0680,17576301.0,,,,6160.0
501,"Apartment for sale, 4 rooms, Kärberi 19, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-kena-4toaline-korter-lasnamael-muua-vaga-hea-3392243.html,"59.4470291,24.8841711",129900.0,4.0,64.8 m²,3/9,1984.0,ready,apartment ownership,,,Notify about incorrect advertisement,"balcony , urban water, water, parquet, parking free parking, separate rooms, public transport, new electricity, lift, electricity","ceramic shove, open kitchen, kitchen furniture","toilet room and bathroom separate, bath",central heating,"cable TV, frontdoor locked, steel door",,78403:309:0680,17576301.0,,,,6160.0
502,"Apartment for sale, 3 rooms, Suur 12, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuua-3toaline-korter-vanalinnas-aadressil-su-3392242.html,"59.3799534,28.2003339",37000.0,3.0,47 m²,3/4,1963.0,renovated,apartment ownership,-,,,"parking free parking, new electricity, TV-set, furnishing possibility, packet windows","gas stove, open kitchen, kitchen furniture","bath, new sewerage",central heating,"Internet, phone, cable TV, steel door, frontdoor locked","Narova river 300 m, roads in good condition roads",51101:002:0008,,,,,5657.0
