,Title,Description,Link,Location,Price,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Energy mark,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Cadastre no.,Register number,Kulud suvel/talvel,Number of floors,Additional information,population
0,"Apartment for sale, 3 rooms, Luha 9, Keila, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muugile-on-tulnud-logistiliselt-vaga-heas-piirkonn-3393746.html,"59.3101965,24.428897",105000.0,3.0,66.6 m²,1/5,1982.0,needs renovating,apartment ownership,D,Data from realestate book,,,,,,,,,,,,,2131.0
1,"Apartment for sale, 3 rooms, Anne 59, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/uus-pakkumine-turul-taielikult-renoveeritud-korter-3393742.html,"58.3743925,26.757881",93000.0,3.0,67.1 m²,8/9,,,,C,Data from realestate book,Notify about incorrect advertisement,"balcony , kitchen, electricity, urban water, parquet, ventilation, public transport, separate rooms, lift, roof tar paper roof",gas stove,"new sewerage, toilet room and bathroom separate, bath, shower, washing machine",central heating,"Internet, phone, frontdoor locked",,,,,,,6966.0
2,"Apartment for sale, 1 rooms, Uus 2, Aravete, Järva vald, Järvamaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> balcony 6 m², box-room, parking free parking ",https://www.kv.ee/44m2-suurune-esimesel-korrusel-asuv-nurgapealne-ko-3393717.html,"59.1471039,25.7546357",9990.0,1.0,44 m²,,,needs renovating,,-,Data from realestate book,Notify about incorrect advertisement,,,,central heating,"phone, frontdoor locked","surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads",,,,,,623.0
3,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3393735.html,"59.4464575,24.8067922",269900.0,3.0,68.1 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 11.1 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,"new sewerage, sauna","gas heating, heated floors","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
4,"Apartment for sale, 2 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3393731.html,"59.4464575,24.8067922",202900.0,2.0,51.9 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 4.9 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
5,"Apartment for sale, 4 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3357180.html,"59.4464575,24.8067922",299900.0,4.0,86.3 m²,1/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"underground garage, packet windows, parquet, garage, box-room, new electricity, high ceilings, basement, TV-set",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
6,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/vaata-ka-www-laulupargi-ee-laulupargi-kodu-on-ajat-3393739.html,"59.4464575,24.8067922",281900.0,3.0,75.5 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 8.6 m², box-room, lift, closed balcony, garage, underground garage, new electricity, high ceilings, basement, TV-set, packet windows, parquet",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
7,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/vaata-ka-www-laulupargi-ee-laulupargi-kodu-on-ajat-3393737.html,"59.4464575,24.8067922",279900.0,3.0,72.3 m²,3/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 7.2 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
8,"Apartment for sale, 2 rooms, Rae 13, Paldiski linn, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/see-kord-on-muugiks-tulnud-2toaline-korter-paldisk-3393725.html,"59.349307,24.0588274",26000.0,2.0,47.5 m²,5/5,1961.0,,,C,Data from realestate book,Notify about incorrect advertisement,"balcony , box-room",,bath,,frontdoor locked,water body sea near,58001:002:0033,,,,,2258.0
9,"Apartment for sale, 3 rooms, Valdeku 116, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/manniku-asumis-on-pakkumisel-muudetud-planeeringug-3393723.html,"59.3756147,24.7130665",129500.0,3.0,60.7 m²,3/5,1988.0,renovated,apartment ownership,D,,,"balcony , parking free parking, urban water, separate rooms, water, electricity, dressing room, basement","electric stove, refridgerator, kitchen furniture","new sewerage, bath",central heating,"Internet, frontdoor locked, steel door, neighbourhood watch",,78404:405:4680,,,,,2720.0
10,"Apartment for sale, 2 rooms, Kallasmaa 5, Maardu, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, kitchen area 8 m²",https://www.kv.ee/hubane-kahetoaline-korter-ootab-uut-omaniku-korter-3393712.html,"59.4778591,25.012122",80000.0,2.0,40.8 m²,4/4,,renovated,apartment ownership,Missing,Data from realestate book,Notify about incorrect advertisement,"kitchen, wall cupboard, urban water, electricity, public transport, separate rooms, street entrance, TV-set, furnishing possibility, furniture, parquet, dressing room, ventilation, near forest, roof tin roof","electric stove, kitchen 8 m², open kitchen, refridgerator","bath, water boiler, new sewerage, shower, washing machine",central heating,"Internet, cable TV, frontdoor locked, neighbourhood watch, steel door",water body lake near,,,,,,3232.0
11,"Apartment for sale, 3 rooms, Rukki tn 4, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/muugile-on-tulnud-toeline-parl-pelgulinnas-tegu-on-3364719.html,"59.4459688,24.7127683",129000.0,3.0,69.1 m²,1/2,1946.0,needs renovating,apartment ownership,-,,,"parking free parking, box-room, wall cupboard, high ceilings, packet windows",,"toilet room and bathroom separate, water boiler","stove heating, gas heating, electric heating",,roads in good condition roads,78408:803:5330,,,,,5396.0
12,"Apartment for sale, 1 rooms, Talli tn 2, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/ehitus-on-alanud-korterid-on-valmis-sissekolimisek-3393703.html,"59.404664,24.7236805",85900.0,1.0,23.4 m²,1/5,2022.0,all brand-new,,B,Data from realestate book,Notify about incorrect advertisement,"balcony 4.8 m², underground garage, new electricity, parquet, lift",open kitchen,"new sewerage, shower",central heating,Internet,,,,,,,8170.0
13,"Apartment for sale, 2 rooms, Kadaka tee 161, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-renoveeritud-valguskullane-2toaline-korter-ka-3389725.html,"59.4059682,24.6610245",96000.0,2.0,43.7 m²,2/5,1965.0,Good condition,apartment ownership,D,,Notify about incorrect advertisement,"balcony 3 m², box-room, TV-set, parquet, parking free parking","gas stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, washing machine",central heating,"Internet, cable TV, frontdoor locked, steel door","surrounding buildings apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours",78405:501:2937,,,,,8278.0
14,"Apartment for sale, 3 rooms, Põllu tn 8, Väätsa, Türi vald, Järvamaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kohtutaitur-muub-avalikul-elektroonilisel-enampakk-3393702.html,"58.892492,25.450012",15000.0,3.0,67.5 m²,1/3,,,apartment ownership,Missing,Data from realestate book,,"sewerage, urban water, water, ventilation",,,central heating,,,93701:004:0011,1821936.0,,,,57.0
15,"Apartment for sale, 3 rooms, Siili tn 1, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/2021-aasta-sugisel-algab-siili-kvartali-teise-kort-3380646.html,"58.367184,26.7488938",178000.0,3.0,57.5 m²,4/6,2022.0,all brand-new,apartment ownership,A,,,"balcony 2.4 m², lift, box-room, packet windows",,shower,central heating,,"neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads, Emajõgi river 200 m",79501:002:0624,,,,,2704.0
16,"Apartment for sale, 4 rooms, Siili tn 1, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/2021-aasta-sugisel-algab-siili-kvartali-teise-kort-3380384.html,"58.367184,26.7488938",250000.0,4.0,79.3 m²,5/6,2022.0,all brand-new,apartment ownership,A,,,"balcony 12.7 m², lift, box-room, packet windows",,shower,central heating,,"neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads, Emajõgi river 200 m",79501:002:0624,,,,,2704.0
17,"Apartment for sale, 1 rooms, Siili tn 1, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/2021-aasta-sugisel-algab-siili-kvartali-teise-kort-3380378.html,"58.367184,26.7488938",97000.0,1.0,30.2 m²,2/6,2022.0,all brand-new,apartment ownership,A,,,"lift, box-room, packet windows",,shower,central heating,,"neighbours around neighbours, surrounding buildings private houses and apartment buildings, in the city location, roads in good condition roads, water body Emajõgi near",79501:002:0624,,,,,2704.0
18,"Apartment for sale, 2 rooms, Siili tn 1, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/2021-aasta-sugisel-algab-siili-kvartali-teise-kort-3380367.html,"58.367184,26.7488938",126000.0,2.0,38.7 m²,3/6,2022.0,all brand-new,apartment ownership,A,,,"balcony 2.4 m², lift, box-room, packet windows",,shower,central heating,,"neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads, water body Emajõgi near",79501:002:0624,,,,,2704.0
19,"Apartment for sale, 1 rooms, Siili tn 3, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/2021-aasta-veebruaris-alustasime-siili-kvartali-es-3358032.html,"58.367184,26.7488938",69000.0,1.0,16 m²,4/6,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"lift, box-room, packet windows",,shower,"heated floors, central heating",Internet,"neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads, Emajõgi river 200 m",79501:002:0625,1421903.0,,,,2704.0
20,"Apartment for sale, 2 rooms, Siili tn 1, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/2021-aasta-sugisel-algab-siili-kvartali-teise-kort-3358031.html,"58.367184,26.7488938",115000.0,2.0,32.9 m²,5/6,2022.0,all brand-new,apartment ownership,A,,,"balcony 2.4 m², lift, box-room, packet windows",,shower,central heating,,"neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads, Emajõgi river 200 m",79501:002:0624,,,,,2704.0
21,"Apartment for sale, 2 rooms, Pikk 12, Valga linn, Valga vald, Valgamaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/muua-2toaline-korter-valga-linnas-korter-asub-1-ko-3393698.html,"57.7830883,26.052812",19990.0,2.0,46.9 m²,1/3,,needs renovating,private property,-,Data from realestate book,Notify about incorrect advertisement,,,,central heating,,Pedeli river,,,,,,2228.0
22,"Apartment for sale, 2 rooms, Viru tn 20, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ",Stone house,https://www.kv.ee/viru-20-ku-kutsub-osalema-moodustatava-korterioman-3392400.html,"59.4365114,24.7490895",38000.0,2.0,56 m²,4/4,,needs renovating,,-,Data from realestate book,Notify about incorrect advertisement,garret,,,,,,78401:101:4220,,,,,26147.0
23,"Apartment for sale, 1 rooms, Puhangu tn 4a, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortermuuki-on-tulnud-avar-1toaline-korter-mis-asu-3393695.html,"59.4468462,24.697203",72000.0,1.0,29.7 m²,5/5,1987.0,Good condition,apartment ownership,Missing,,,"parking free parking, wall cupboard, basement, TV-set, separate rooms, furnishing possibility, furniture, packet windows","electric stove, refridgerator, kitchen furniture","bath, new sewerage, shower",central heating,"Internet, phone, cable TV, steel door, frontdoor locked","location in the center location, roads in good condition roads, neighbours around neighbours, surrounding buildings apartment buildings, water body sea near",78408:805:0003,,,,,7549.0
24,"Apartment for sale, 5 rooms, Viru tn 20, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> organisation through the few floors, garret ",https://www.kv.ee/viru-20-ku-kutsub-osalema-moodustatava-korterioman-3392398.html,"59.4365114,24.7490895",90000.0,5.0,135.3 m²,4/4,,needs renovating,,-,Data from realestate book,Notify about incorrect advertisement,,,,,,,78401:101:4220,,,,,26147.0
25,"Apartment for sale, 2 rooms, Pelguranna 19, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/mereaarses-elamukvartalis-stroomi-ranna-laheduses-3393694.html,"59.4515648,24.6858082",85000.0,2.0,37.2 m²,1/4,1960.0,satisfactory,apartment ownership,F,,,"parking free parking, furniture",kitchen furniture,"shower, bath",central heating,"phone, cable TV, frontdoor locked, steel door","surrounding buildings apartment buildings, location in suburb location, roads in good condition roads, water body sea near",78408:805:1540,,,,,1685.0
26,"Apartment for sale, 1 rooms, Raatuse 107, Ülejõe, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-raatuse-tanava-uuselamus-1toaline-korter-koos-3393691.html,"58.3844801,26.7419476",95000.0,1.0,38 m²,2/4,2013.0,all brand-new,apartment ownership,C,Data from realestate book,,,,,,,,,,,,,6089.0
27,"Apartment for sale, 1 rooms, Laki tn 24, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/uut-elanikku-ootab-ilus-stuudiokorter-mustamael-la-3391516.html,"59.4134721,24.6770845",59650.0,1.0,13.9 m²,4/4,,all brand-new,apartment ownership,Missing,,,"new electricity, furniture","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower",central heating,"Internet, steel door, video cameras",,78405:502:2310,,45 € /  70 €,,,6141.0
28,"Apartment for sale, 2 rooms, Akadeemia 68, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-varskelt-ja-kvaliteetselt-renoveeritud-2toali-3393567.html,"59.4033416,24.6573778",95600.0,2.0,44.4 m²,4/5,1965.0,renovated,apartment ownership,E,,Notify about incorrect advertisement,"balcony 0.9 m², packet windows, parquet, closed balcony, parking free parking, new electricity, basement, furniture","gas stove, refridgerator, kitchen furniture","shower, new sewerage, washing machine",central heating,frontdoor locked,"in the city location, roads in good condition roads, neighbours at one side neighbours, surrounding buildings apartment buildings",78405:501:0023,,,,,8278.0
29,"Apartment for sale, 1 rooms, Kalevi tn 2, Võhma linn, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/viljandimaa-pohjasakala-vald-vohma-linn-kalevi-tn-3393687.html,"58.6301235,25.5529405",5000.0,1.0,29.7 m²,,1971.0,satisfactory,apartment ownership,,,Notify about incorrect advertisement,,,,,,,91201:001:2070,1026739.0,,5.0,,420.0
30,"Apartment for sale, 3 rooms, Linnamäe 79, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-ilus-ja-hubane-mobleeritud-3-toaline-korter-l-3368884.html,"59.4502057,24.8830613",116500.0,3.0,64.4 m²,7/9,,Good condition,apartment ownership,-,Data from realestate book,,"parking free parking, furniture, packet windows, lift, separate rooms","electric stove, open kitchen, refridgerator, kitchen furniture","toilet room and bathroom separate, bath, washing machine",central heating,"steel door, frontdoor locked","in the city location, roads in good condition roads",,,110 € /  180 €,,,6160.0
31,"Apartment for sale, 1 rooms, Vardja tee 8, Vardja, Kose vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/pakkumisel-1toaline-renoveeritud-korter-korterkort-3393683.html,"59,25",31740.0,1.0,32.1 m²,1/3,1989.0,renovated,apartment ownership,D,Data from realestate book,,"balcony , parking free parking, urban water, water, electricity, basement, near forest","electric stove, open kitchen, kitchen furniture","new sewerage, shower",central heating,"steel door, neighbourhood watch, frontdoor locked","location outside settlement location, surrounding buildings apartment buildings",,,,,,4.0
32,"Apartment for sale, 2 rooms, Lina 18a, Rääma, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/uus-lillepargi-kodude-kortermaja-lina-tn-18a-valmi-3393682.html,"58.395471,24.521195",110800.0,2.0,51.5 m²,3/3,2022.0,all brand-new,apartment ownership,A,,,"balcony , water, box-room, parking not free parking, parquet, electricity",,shower,"heated floors, central heating","frontdoor locked, video cameras, steel door",water body river near,62401:001:1971,,,,,1597.0
33,"Apartment for sale, 4 rooms, Läänemere tee 24, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/harjumaa-tallinn-lasnamae-laanemere-tee-24-4-tuba-3393676.html,"59.4527974,24.8731624",165500.0,4.0,67 m²,5/5,1989.0,renovated,apartment ownership,D,,Notify about incorrect advertisement,"balcony 10 m², packet windows, parquet, closed balcony, new electricity, separate rooms, furnishing possibility","induktsioon pliit, kitchen 17 m², open kitchen, refridgerator, kitchen furniture","new sewerage, shower, toilet room and bathroom separate",central heating,"Internet, video cameras, steel door, frontdoor locked",,78403:307:0570,,,,,13388.0
34,"Apartment for sale, 2 rooms, Hüatsindi tee 1, Viimsi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/uus-korter-hinnas-terrass-ja-2-parkimiskohta-vaga-3393675.html,"59.498328054535,24.841103025364",190000.0,2.0,51 m²,1/3,2017.0,all brand-new,private property,C,,,"kitchen, parking free parking, sewerage, garage, urban water, fenced with garden","electric stove, open kitchen, refridgerator, kitchen furniture",shower,central heating,"frontdoor locked, video cameras",roads paved roads,89001:010:3493,,,,,1864.0
35,"Apartment for sale, 1 rooms, Punane 32, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, panel house",https://www.kv.ee/harjumaa-tallinn-lasnamae-punane-32-1-tuba-35-kinn-3393667.html,"59.4329449,24.8325959",69900.0,1.0,34 m²,3/5,1987.0,needs renovating,private property,-,,,"balcony 4 m², furnishing possibility",kitchen 8 m²,,,,,,,25 € /  45 €,,,3276.0
36,"Apartment for sale, 3 rooms, Pae tn 17a, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","
                            HÜPOTEEGIGA!!!!",https://www.kv.ee/hupoteegiga-kohtutaitur-muub-avalikul-elektroonili-3393662.html,"59.4315059,24.8081784",40000.0,3.0,58.2 m²,,,,,-,Data from realestate book,Notify about incorrect advertisement,,,,,,,78403:301:1790,,,5.0,,5241.0
37,"Apartment for sale, 2 rooms, Pae tn 25, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","
                            Kohtutäitur müüb avalikul elektroonilisel enampakkumisel Kohtutäiturite ja Pankrotihaldurite Koja oksjonikeskkonnas https://www.oksjonikeskus.ee vara:",https://www.kv.ee/kohtutaitur-muub-avalikul-elektroonilisel-enampakk-3393661.html,"59.4331467,24.8117594",200000.0,2.0,135.3 m²,,1954.0,,,-,Data from realestate book,Notify about incorrect advertisement,,,,,,,78403:301:2440,,,4.0,,8597.0
38,"Apartment for sale, 2 rooms, J. Sütiste tee 41, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","
                            Kohtutäitur müüb avalikul elektroonilisel enampakkumisel Kohtutäiturite ja Pankrotihaldurite Koja oksjonikeskkonnas https://www.oksjonikeskus.ee vara:",https://www.kv.ee/kohtutaitur-muub-avalikul-elektroonilisel-enampakk-3393660.html,"59.39693,24.6783039",75000.0,2.0,43.1 m²,,1972.0,,,-,Data from realestate book,Notify about incorrect advertisement,,,,,,,78405:501:3164,,,9.0,,8894.0
39,"Apartment for sale, 2 rooms, Mai tn 24, Mai, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-2-toaline-vaga-heas-seisukorras-korter-mai-ta-3393656.html,"58.367162,24.544901",71000.0,2.0,45.9 m²,5/5,1985.0,renovated,apartment ownership,,,Notify about incorrect advertisement,"urban water, water, sewerage, separate rooms, ventilation, roof tar paper roof","electric stove, kitchen furniture",toilet room and bathroom separate,central heating,frontdoor locked,,62513:175:8650,488805.0,,,,1865.0
40,"Apartment for sale, 1 rooms, E. Vilde tee 96, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korter-on-renoveeritud-2020-a-hasti-hoitud-madalad-3393647.html,"59.4061993,24.6745484",40000.0,1.0,11.3 m²,,1967.0,renovated,apartment ownership,-,,Notify about incorrect advertisement,"parquet, packet windows","refridgerator, kitchen furniture","water boiler, shower, washing machine",central heating,"Internet, cable TV, secure guard, frontdoor locked",,78405:501:0078,,,5.0,,11624.0
41,"Apartment for sale, 2 rooms, Näituse tn 22b, Vaksali, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-hubane-ja-valguskullane-lounapoolne-2-toaline-3393646.html,"58.3776757,26.702996",144500.0,2.0,48.2 m²,1/4,2002.0,Good condition,apartment ownership,Missing,,,"parking free parking, closed courtyard, terrace, packet windows, parquet, box-room, wall cupboard","ceramic shove, open kitchen, refridgerator, kitchen furniture","shower, sauna","central heating, heated floors","Internet, cable TV, steel door, frontdoor locked","roads in good condition roads, neighbours around neighbours, surrounding buildings private houses and apartment buildings",79506:001:0012,,,,,6544.0
42,"Apartment for sale, 2 rooms, Näituse tn 22b, Tähtvere, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-hubane-ja-valguskullane-lounapoolne-2-toaline-3393672.html,"58.3776757,26.702996",144500.0,2.0,48.2 m²,1/4,2002.0,Good condition,apartment ownership,Missing,,,"parking free parking, closed courtyard, terrace, packet windows, parquet, box-room, wall cupboard","ceramic shove, open kitchen, refridgerator, kitchen furniture","shower, sauna","central heating, heated floors","Internet, cable TV, steel door, frontdoor locked","roads in good condition roads, neighbours around neighbours, surrounding buildings private houses and apartment buildings",79506:001:0012,,,,,6544.0
43,"Apartment for sale, 1 rooms, Ujula 68, Ülejõe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/muua-suureparase-asukohaga-1toaline-korter-eraldi-3386158.html,"58.3898018,26.720026",38000.0,1.0,23 m²,1/2,1977.0,satisfactory,apartment ownership,G,,,"box-room, separate entryway, closed courtyard",ceramic shove,shower,"electric heating, stove heating, combined heating",,,,,50 € /  80 €,,,2924.0
44,"Apartment for sale, 1 rooms, Mereranna tee 6, Kuressaare linn, Saaremaa vald, Saaremaa - Real estate portal KV.EE ","Apartment ownership, stone house, kitchen area 7 m²",https://www.kv.ee/muua-kuressaare-linnaservas-kudjape-alevikus-merer-3393638.html,"58.2574717,22.5227129",55000.0,1.0,43.7 m²,1/3,1988.0,ready,apartment ownership,Missing,Data from realestate book,,"balcony , kitchen, urban water, parking free parking, box-room, wall cupboard, public transport, furniture, parquet, roof tin roof","electric stove, kitchen 7 m², refridgerator","bath, shower, water boiler",electric heating,"cable TV, frontdoor locked",water body sea near,,,,,,222.0
45,"Apartment for sale, 3 rooms, Turu 5, Kesklinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-3toaline-korter-planeeringult-esik-avatud-koo-3393635.html,"58.3764064,26.7310019",101000.0,3.0,50.4 m²,4/4,1964.0,,apartment ownership,E,Data from realestate book,Notify about incorrect advertisement,packet windows,"electric stove, open kitchen","bath, water boiler",central heating,frontdoor locked,,,,,,,9028.0
46,"Apartment for sale, 4 rooms, Põhja pst 4, Jaamamõisa, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-4toaline-korter-pohja-pst-4-majas-korter-asub-3393627.html,"58.3823908,26.7536242",76000.0,4.0,71.3 m²,4/5,1977.0,satisfactory,apartment ownership,E,,,"balcony 3 m², parking free parking, packet windows, parquet","gas stove, refridgerator","toilet room and bathroom separate, bath",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours",79515:005:0010,,,,,4826.0
47,"Apartment for sale, 2 rooms, Mõisavahe tn 30, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-renoveeritud-korter-moisavahe-30-majas-ii-kor-3393625.html,"58.3701913,26.7723059",87000.0,2.0,46.1 m²,2/5,1983.0,renovated,apartment ownership,E,,,"parking free parking, separate rooms, packet windows, parquet","electric stove, kitchen furniture","toilet room and bathroom separate, bath, new sewerage",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, roads in good condition roads, neighbours next to neighbours",79516:028:0033,,,,,6633.0
48,"Apartment for sale, 1 rooms, Tedre 33 a, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-varske-renoveeritud-1toaline-korter-viiekorru-3322755.html,"59.4183893,24.7178251",57000.0,1.0,18.5 m²,2/5,,Good condition,apartment ownership,-,Data from realestate book,,"box-room, packet windows, furnishing possibility","open kitchen, refridgerator","new sewerage, bath, washing machine",central heating,"cable TV, frontdoor locked, steel door","in the city location, roads in good condition roads",,,40 € /  60 €,,,4405.0
49,"Apartment for sale, 2 rooms, Mustamäe tee 191, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-soe-paikesepoolne-hea-asukohaga-2toaline-kort-3392723.html,"59.4028198,24.6808436",85800.0,2.0,43.2 m²,3/9,1969.0,needs renovating,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 4 m², parking free parking, TV-set, separate rooms, lift","electric stove, refridgerator","toilet room and bathroom separate, bath",central heating,"Internet, phone, cable TV, steel door, neighbourhood watch, video cameras, frontdoor locked","roads in good condition roads, surrounding buildings apartment buildings, in the city location, neighbours around neighbours",78405:501:0028,19470701.0,,,,11624.0
