Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Energy mark,Built in year,population,Building type,id,Balcony,Balcony size,Distance from Tallinn,frontdoor locked,street entrance,terrace,kitchen,closed courtyard,furniture,liquid fuel,cloak room,furnishing possibility,water,ventilation,goods lift,new electricity,garret,electricity,lift,open kitchen,urban water,packet windows,trestle,underground garage,new sewerage,garage,deep well,parquet,fenced with garden,local water,organisation through the few floors,TV-set,gas,show case windows,near forest,well,high ceilings,dressing room,separate entryway,public transport,box-room,basement,sewerage,separate rooms,3*380V,farm building,refridgerator,kitchen furniture,shower,bath,toilet room and bathroom separate,water boiler,sauna,washing machine,pool,heated floors,fireplace,conditioner,solid fuel,phone,cable TV,Internet,video cameras,security system,secure guard,steel door,neighbourhood watch,forest,sea,river,lake,stream,pond,This floor,Total number of floors,Latitude,Longitude,Ownership_apartment association,Ownership_apartment ownership,Ownership_building lease,Ownership_joint ownership,Ownership_logical part,Ownership_movable,Ownership_private property,Heating type_Air source heat pump,Heating type_central,Heating type_combined,Heating type_electric,Heating type_gas,Heating type_geothermic,Heating type_stove
38000.0,3.0,221.1834394003661,1.0,0,4,0.0,8,2022.0,35.0,0,22,0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,59.2153999,25.1346999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240000.0,5.0,128.0,2.0,5,4,0.0,8,1930.0,81.0,0,23,0,0.0,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,1,1,58.381223,24.6325534,0,0,0,0,0,0,1,0,0,1,0,0,0,0
105000.0,3.0,184.0,2.0,0,4,1182.0,8,1967.0,547.0,0,24,0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1,1,59.3642387,25.1826479,0,0,0,0,0,0,1,0,0,0,0,0,0,1
445000.0,4.0,124.4,1.0,5,4,1149.0,8,2017.0,131.0,0,25,1,11.1,0.0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,2,59.538219124038,24.793479940192,0,0,0,0,0,0,1,0,1,0,0,0,0,0
323000.0,5.0,129.0,2.0,6,4,1146.0,8,2022.0,3698.0,0,26,1,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,58.3493122,26.7093069,0,1,0,0,0,0,0,1,0,0,0,0,0,0
435000.0,5.0,174.3,1.0,6,4,0.0,0,2021.0,237.0,0,27,0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,1,1,59.3584977179684,24.5942982952454,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44900.0,3.0,139.0,1.0,0,4,10852.0,8,1959.0,6.0,0,28,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1,1,58.7819079694,26.7736631159668,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27900.0,3.0,337.0,1.0,0,4,19148.0,8,1911.0,354.0,0,29,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,58.050706696561,26.2356260005859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32000.0,2.0,2282.0,1.0,0,4,0.0,8,1917.0,1314.0,0,30,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,58.0960139,27.4689651,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39000.0,3.0,1465.0,2.0,0,4,1465.0,8,2022.0,821.0,0,31,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,58.0662698,27.0933487,0,0,0,0,0,0,1,0,1,0,0,0,0,0
